run,pop,herb,rate,rep,count,biomass,count_red,bio_red
1,A8,atrazine,3x,1,6,0.035,0.8125000000,0.957225787
1,A8,atrazine,3x,2,3,0.003,0.9062500000,0.996333639
1,A8,atrazine,3x,3,3,0.088,0.9062500000,0.892453407
1,A8,atrazine,3x,4,4,0.057,0.8750000000,0.930339138
1,A8,metribuzin,3x,1,0,0,0.9999999999,1
1,A8,metribuzin,3x,2,0,0,0.9999999999,1
1,A8,metribuzin,3x,3,0,0,0.9999999999,1
1,A8,metribuzin,3x,4,0,0,0.9999999999,1
1,A9,atrazine,3x,1,1,0.005,0.9746835440,0.995087202
1,A9,atrazine,3x,2,7,0.287,0.8227848100,0.718005404
1,A9,atrazine,3x,3,13,0.303,0.6708860760,0.702284451
1,A9,atrazine,3x,4,0,0,0.9999999999,1
1,A9,metribuzin,3x,1,0,0,0.9999999999,1
1,A9,metribuzin,3x,2,0,0,0.9999999999,1
1,A9,metribuzin,3x,3,0,0,0.9999999999,1
1,A9,metribuzin,3x,4,0,0,0.9999999999,1
1,A11,atrazine,3x,1,6,0.013,0.7473684210,0.974720467
1,A11,atrazine,3x,2,7,0.29,0.7052631580,0.436071949
1,A11,atrazine,3x,3,3,0.089,0.8736842110,0.826932426
1,A11,atrazine,3x,4,2,0.086,0.9157894740,0.832766164
1,A11,metribuzin,3x,1,0,0,0.9999999999,1
1,A11,metribuzin,3x,2,0,0,0.9999999999,1
1,A11,metribuzin,3x,3,0,0,0.9999999999,1
1,A11,metribuzin,3x,4,0,0,0.9999999999,1
1,A17,atrazine,3x,1,3,0.005,0.9289940830,0.997202015
1,A17,atrazine,3x,2,5,0.002,0.8816568050,0.998880806
1,A17,atrazine,3x,3,2,0.032,0.9526627220,0.982092893
1,A17,atrazine,3x,4,1,0.001,0.9763313610,0.999440403
1,A17,metribuzin,3x,1,0,0,0.9999999999,1
1,A17,metribuzin,3x,2,0,0,0.9999999999,1
1,A17,metribuzin,3x,3,0,0,0.9999999999,1
1,A17,metribuzin,3x,4,0,0,0.9999999999,1
1,A18,atrazine,3x,1,0,0,0.9999999999,1
1,A18,atrazine,3x,2,0,0,0.9999999999,1
1,A18,atrazine,3x,3,1,0.004,0.9712230220,0.996059113
1,A18,atrazine,3x,4,0,0,0.9999999999,1
1,A18,metribuzin,3x,1,0,0,0.9999999999,1
1,A18,metribuzin,3x,2,0,0,0.9999999999,1
1,A18,metribuzin,3x,3,0,0,0.9999999999,1
1,A18,metribuzin,3x,4,0,0,0.9999999999,1
1,A20,atrazine,3x,1,0,0,0.9999999999,1
1,A20,atrazine,3x,2,13,0.308,0.5806451610,0.729290266
1,A20,atrazine,3x,3,7,0.225,0.7741935480,0.802241266
1,A20,atrazine,3x,4,5,0.114,0.8387096770,0.899802241
1,A20,metribuzin,3x,1,0,0,0.9999999999,1
1,A20,metribuzin,3x,2,0,0,0.9999999999,1
1,A20,metribuzin,3x,3,0,0,0.9999999999,1
1,A20,metribuzin,3x,4,0,0,0.9999999999,1
1,A22,atrazine,3x,1,0,0,0.9999999999,1
1,A22,atrazine,3x,2,0,0,0.9999999999,1
1,A22,atrazine,3x,3,0,0,0.9999999999,1
1,A22,atrazine,3x,4,0,0,0.9999999999,1
1,A22,metribuzin,3x,1,0,0,0.9999999999,1
1,A22,metribuzin,3x,2,0,0,0.9999999999,1
1,A22,metribuzin,3x,3,0,0,0.9999999999,1
1,A22,metribuzin,3x,4,0,0,0.9999999999,1
1,A23,atrazine,3x,1,3,0.002,0.7000000000,0.997764114
1,A23,atrazine,3x,2,0,0,0.9999999999,1
1,A23,atrazine,3x,3,1,0.001,0.9000000000,0.998882057
1,A23,atrazine,3x,4,0,0,0.9999999999,1
1,A23,metribuzin,3x,1,0,0,0.9999999999,1
1,A23,metribuzin,3x,2,0,0,0.9999999999,1
1,A23,metribuzin,3x,3,0,0,0.9999999999,1
1,A23,metribuzin,3x,4,0,0,0.9999999999,1
1,A27,atrazine,3x,1,0,0,0.9999999999,1
1,A27,atrazine,3x,2,0,0,0.9999999999,1
1,A27,atrazine,3x,3,0,0,0.9999999999,1
1,A27,atrazine,3x,4,1,0.009,0.9493670890,0.994443587
1,A27,metribuzin,3x,1,0,0,0.9999999999,1
1,A27,metribuzin,3x,2,0,0,0.9999999999,1
1,A27,metribuzin,3x,3,0,0,0.9999999999,1
1,A27,metribuzin,3x,4,0,0,0.9999999999,1
1,A31,atrazine,3x,1,0,0,0.9999999999,1
1,A31,atrazine,3x,2,1,,0.8888888890,1
1,A31,atrazine,3x,3,0,0,0.9999999999,1
1,A31,atrazine,3x,4,1,,0.8888888890,1
1,A31,metribuzin,3x,1,0,0,0.9999999999,1
1,A31,metribuzin,3x,2,0,0,0.9999999999,1
1,A31,metribuzin,3x,3,0,0,0.9999999999,1
1,A31,metribuzin,3x,4,0,0,0.9999999999,1
1,A34,atrazine,3x,1,1,0.001,0.9622641510,0.999226605
1,A34,atrazine,3x,2,0,0,0.9999999999,1
1,A34,atrazine,3x,3,1,0.003,0.9622641510,0.997679814
1,A34,atrazine,3x,4,0,0,0.9999999999,1
1,A34,metribuzin,3x,1,0,0,0.9999999999,1
1,A34,metribuzin,3x,2,0,0,0.9999999999,1
1,A34,metribuzin,3x,3,0,0,0.9999999999,1
1,A34,metribuzin,3x,4,0,0,0.9999999999,1
1,A35,atrazine,3x,1,0,0,0.9999999999,1
1,A35,atrazine,3x,2,0,0,0.9999999999,1
1,A35,atrazine,3x,3,0,0,0.9999999999,1
1,A35,atrazine,3x,4,0,0,0.9999999999,1
1,A35,metribuzin,3x,1,0,0,0.9999999999,1
1,A35,metribuzin,3x,2,0,0,0.9999999999,1
1,A35,metribuzin,3x,3,0,0,0.9999999999,1
1,A35,metribuzin,3x,4,0,0,0.9999999999,1
1,A36,atrazine,3x,1,0,0,0.9999999999,1
1,A36,atrazine,3x,2,2,0.052,0.9139784950,0.962043796
1,A36,atrazine,3x,3,0,0,0.9999999999,1
1,A36,atrazine,3x,4,4,0.03,0.8279569890,0.97810219
1,A36,metribuzin,3x,1,0,0,0.9999999999,1
1,A36,metribuzin,3x,2,0,0,0.9999999999,1
1,A36,metribuzin,3x,3,0,0,0.9999999999,1
1,A36,metribuzin,3x,4,0,0,0.9999999999,1
1,A37,atrazine,3x,1,12,0.141,0.4947368420,0.841928251
1,A37,atrazine,3x,2,2,0.004,0.9157894740,0.995515695
1,A37,atrazine,3x,3,4,0.016,0.8315789470,0.98206278
1,A37,atrazine,3x,4,2,0.072,0.9157894740,0.919282511
1,A37,metribuzin,3x,1,0,0,0.9999999999,1
1,A37,metribuzin,3x,2,0,0,0.9999999999,1
1,A37,metribuzin,3x,3,0,0,0.9999999999,1
1,A37,metribuzin,3x,4,0,0,0.9999999999,1
1,A39,atrazine,3x,1,0,0,0.9999999999,1
1,A39,atrazine,3x,2,0,0,0.9999999999,1
1,A39,atrazine,3x,3,0,0,0.9999999999,1
1,A39,atrazine,3x,4,0,0,0.9999999999,1
1,A39,metribuzin,3x,1,0,0,0.9999999999,1
1,A39,metribuzin,3x,2,0,0,0.9999999999,1
1,A39,metribuzin,3x,3,0,0,0.9999999999,1
1,A39,metribuzin,3x,4,0,0,0.9999999999,1
1,A41,atrazine,3x,1,2,0.004,0.9101123600,0.995336637
1,A41,atrazine,3x,2,4,0.029,0.8202247190,0.966190615
1,A41,atrazine,3x,3,0,0,0.9999999999,1
1,A41,atrazine,3x,4,2,0.037,0.9101123600,0.956863888
1,A41,metribuzin,3x,1,0,0,0.9999999999,1
1,A41,metribuzin,3x,2,0,0,0.9999999999,1
1,A41,metribuzin,3x,3,0,0,0.9999999999,1
1,A41,metribuzin,3x,4,0,0,0.9999999999,1
1,A44,atrazine,3x,1,0,0,0.9999999999,1
1,A44,atrazine,3x,2,0,0,0.9999999999,1
1,A44,atrazine,3x,3,1,0.002,0.9649122810,0.99694773
1,A44,atrazine,3x,4,0,0,0.9999999999,1
1,A44,metribuzin,3x,1,0,0,0.9999999999,1
1,A44,metribuzin,3x,2,0,0,0.9999999999,1
1,A44,metribuzin,3x,3,0,0,0.9999999999,1
1,A44,metribuzin,3x,4,0,0,0.9999999999,1
1,A45,atrazine,3x,1,0,0,0.9999999999,1
1,A45,atrazine,3x,2,0,0,0.9999999999,1
1,A45,atrazine,3x,3,0,0,0.9999999999,1
1,A45,atrazine,3x,4,2,0.023,0.7777777780,0.894736842
1,A45,metribuzin,3x,1,0,0,0.9999999999,1
1,A45,metribuzin,3x,2,0,0,0.9999999999,1
1,A45,metribuzin,3x,3,0,0,0.9999999999,1
1,A45,metribuzin,3x,4,0,0,0.9999999999,1
1,A47,atrazine,3x,1,0,0,0.9999999999,1
1,A47,atrazine,3x,2,0,0,0.9999999999,1
1,A47,atrazine,3x,3,0,0,0.9999999999,1
1,A47,atrazine,3x,4,0,0,0.9999999999,1
1,A47,metribuzin,3x,1,0,0,0.9999999999,1
1,A47,metribuzin,3x,2,0,0,0.9999999999,1
1,A47,metribuzin,3x,3,0,0,0.9999999999,1
1,A47,metribuzin,3x,4,0,0,0.9999999999,1
1,A57,atrazine,3x,1,0,0,0.9999999999,1
1,A57,atrazine,3x,2,0,0,0.9999999999,1
1,A57,atrazine,3x,3,0,0,0.9999999999,1
1,A57,atrazine,3x,4,0,0,0.9999999999,1
1,A57,metribuzin,3x,1,0,0,0.9999999999,1
1,A57,metribuzin,3x,2,0,0,0.9999999999,1
1,A57,metribuzin,3x,3,0,0,0.9999999999,1
1,A57,metribuzin,3x,4,0,0,0.9999999999,1
1,A65,atrazine,3x,1,1,0.036,0.9090909090,0.909090909
1,A65,atrazine,3x,2,2,0.068,0.8181818180,0.828282828
1,A65,atrazine,3x,3,0,0,0.9999999999,1
1,A65,atrazine,3x,4,0,0,0.9999999999,1
1,A65,metribuzin,3x,1,0,0,0.9999999999,1
1,A65,metribuzin,3x,2,0,0,0.9999999999,1
1,A65,metribuzin,3x,3,0,0,0.9999999999,1
1,A65,metribuzin,3x,4,0,0,0.9999999999,1
1,A66,atrazine,3x,1,2,0.001,0.9389312980,0.999356913
1,A66,atrazine,3x,2,1,0.005,0.9694656490,0.996784566
1,A66,atrazine,3x,3,0,0,0.9999999999,1
1,A66,atrazine,3x,4,0,0,0.9999999999,1
1,A66,metribuzin,3x,1,0,0,0.9999999999,1
1,A66,metribuzin,3x,2,0,0,0.9999999999,1
1,A66,metribuzin,3x,3,0,0,0.9999999999,1
1,A66,metribuzin,3x,4,0,0,0.9999999999,1
1,A67,atrazine,3x,1,0,0,0.9999999999,1
1,A67,atrazine,3x,2,0,0,0.9999999999,1
1,A67,atrazine,3x,3,0,0,0.9999999999,1
1,A67,atrazine,3x,4,0,0,0.9999999999,1
1,A67,metribuzin,3x,1,0,0,0.9999999999,1
1,A67,metribuzin,3x,2,0,0,0.9999999999,1
1,A67,metribuzin,3x,3,0,0,0.9999999999,1
1,A67,metribuzin,3x,4,0,0,0.9999999999,1
1,A75,atrazine,3x,1,4,0.046,0.7777777780,0.958882682
1,A75,atrazine,3x,2,0,0,0.9999999999,1
1,A75,atrazine,3x,3,10,0.283,0.4444444440,0.747039106
1,A75,atrazine,3x,4,2,0.039,0.8888888890,0.965139665
1,A75,metribuzin,3x,1,0,0,0.9999999999,1
1,A75,metribuzin,3x,2,0,0,0.9999999999,1
1,A75,metribuzin,3x,3,0,0,0.9999999999,1
1,A75,metribuzin,3x,4,0,0,0.9999999999,1
1,A76,atrazine,3x,1,1,0.076,0.9629629630,0.936772047
1,A76,atrazine,3x,2,0,0,0.9999999999,1
1,A76,atrazine,3x,3,0,0,0.9999999999,1
1,A76,atrazine,3x,4,0,0,0.9999999999,1
1,A76,metribuzin,3x,1,0,0,0.9999999999,1
1,A76,metribuzin,3x,2,0,0,0.9999999999,1
1,A76,metribuzin,3x,3,0,0,0.9999999999,1
1,A76,metribuzin,3x,4,0,0,0.9999999999,1
1,A82,atrazine,3x,1,0,0,0.9999999999,1
1,A82,atrazine,3x,2,0,0,0.9999999999,1
1,A82,atrazine,3x,3,0,0,0.9999999999,1
1,A82,atrazine,3x,4,0,0,0.9999999999,1
1,A82,metribuzin,3x,1,0,0,0.9999999999,1
1,A82,metribuzin,3x,2,0,0,0.9999999999,1
1,A82,metribuzin,3x,3,0,0,0.9999999999,1
1,A82,metribuzin,3x,4,0,0,0.9999999999,1
1,A87,atrazine,3x,1,0,0,0.9999999999,1
1,A87,atrazine,3x,2,0,0,0.9999999999,1
1,A87,atrazine,3x,3,0,0,0.9999999999,1
1,A87,atrazine,3x,4,0,0,0.9999999999,1
1,A87,metribuzin,3x,1,0,0,0.9999999999,1
1,A87,metribuzin,3x,2,0,0,0.9999999999,1
1,A87,metribuzin,3x,3,1,0.042,0.9735099340,0.979378913
1,A87,metribuzin,3x,4,0,0,0.9999999999,1
1,A90,atrazine,3x,1,1,0.1,0.9803921570,0.94916762
1,A90,atrazine,3x,2,2,0.007,0.9607843140,0.996441733
1,A90,atrazine,3x,3,7,0.025,0.8627450980,0.987291905
1,A90,atrazine,3x,4,4,0.006,0.9215686280,0.996950057
1,A90,metribuzin,3x,1,0,0,0.9999999999,1
1,A90,metribuzin,3x,2,0,0,0.9999999999,1
1,A90,metribuzin,3x,3,0,0,0.9999999999,1
1,A90,metribuzin,3x,4,0,0,0.9999999999,1
1,A91,atrazine,3x,1,3,0.019,0.8736842110,0.986796386
1,A91,atrazine,3x,2,1,0.127,0.9578947370,0.911744267
1,A91,atrazine,3x,3,2,0.013,0.9157894740,0.990965949
1,A91,atrazine,3x,4,1,0.109,0.9578947370,0.924252953
1,A91,metribuzin,3x,1,0,0,0.9999999999,1
1,A91,metribuzin,3x,2,0,0,0.9999999999,1
1,A91,metribuzin,3x,3,0,0,0.9999999999,1
